,density,burn_percentage,directions,ticks
360,37.0,0.9240555292904113,4.0,23.0
361,37.0,0.9134182426347612,4.0,25.0
362,37.0,1.1151295961422545,4.0,36.0
363,37.0,0.7288881221426723,4.0,22.0
364,37.0,1.1958851264466352,4.0,23.0
365,37.0,0.8676134156343074,4.0,22.0
366,37.0,1.059413646977428,4.0,27.0
367,37.0,0.6811755633621798,4.0,21.0
368,37.0,0.8421414453897053,4.0,20.0
369,37.0,1.0315981101816132,4.0,19.0
370,38.0,0.9640776292073605,4.0,23.0
371,38.0,1.081467766369298,4.0,26.0
372,38.0,0.8405480373203329,4.0,34.0
373,38.0,0.901618720120775,4.0,31.0
374,38.0,1.0732033240071825,4.0,29.0
375,38.0,0.9251860885655411,4.0,23.0
376,38.0,1.0191190095173923,4.0,23.0
377,38.0,0.9436325678496869,4.0,21.0
378,38.0,0.9333221222567898,4.0,24.0
379,38.0,0.8687661849469551,4.0,22.0
380,39.0,1.0537493873550072,4.0,23.0
381,39.0,0.8951929365598431,4.0,22.0
382,39.0,1.0635686819929642,4.0,35.0
383,39.0,0.9858463552319399,4.0,23.0
384,39.0,1.1111563352191787,4.0,23.0
385,39.0,0.9830022527134958,4.0,21.0
386,39.0,0.7291495985580863,4.0,21.0
387,39.0,0.7679424860095584,4.0,21.0
388,39.0,1.2104550490336876,4.0,41.0
389,39.0,1.0729526519000203,4.0,22.0
390,40.0,1.1146940562920498,4.0,23.0
391,40.0,0.9026640571953509,4.0,27.0
392,40.0,0.7591497522774493,4.0,24.0
393,40.0,0.9387233362626828,4.0,30.0
394,40.0,1.1554746547425903,4.0,25.0
395,40.0,1.1828644501278773,4.0,26.0
396,40.0,1.1932409706094338,4.0,27.0
397,40.0,1.3273464886368114,4.0,29.0
398,40.0,0.9835543344084737,4.0,29.0
399,40.0,1.134238070601345,4.0,24.0
400,41.0,1.250194129523218,4.0,24.0
401,41.0,1.2698660018697414,4.0,31.0
402,41.0,1.1271890479347868,4.0,32.0
403,41.0,0.8389326911873228,4.0,25.0
404,41.0,1.2999035679845707,4.0,31.0
405,41.0,1.0068560235063664,4.0,24.0
406,41.0,1.2133547301264238,4.0,26.0
407,41.0,0.8610417067076687,4.0,28.0
408,41.0,1.0805158591843849,4.0,22.0
409,41.0,1.0618580585373387,4.0,28.0
410,42.0,1.2294306790240213,4.0,24.0
411,42.0,1.2010981468771447,4.0,25.0
412,42.0,0.8937740082911803,4.0,25.0
413,42.0,1.361815754339119,4.0,27.0
414,42.0,1.4143845922359315,4.0,36.0
415,42.0,1.284060075667826,4.0,28.0
416,42.0,1.451152161493049,4.0,36.0
417,42.0,1.1087724573404496,4.0,26.0
418,42.0,1.1719939117199392,4.0,31.0
419,42.0,1.2252591894439209,4.0,25.0
420,43.0,1.2333825701624814,4.0,24.0
421,43.0,1.3459750883063766,4.0,40.0
422,43.0,1.4274562283929966,4.0,31.0
