,initial_number_sheep,initial_number_wolves,sheep_gain_from_food,wolf_gain_from_food,sheep_reproduce,wolf_reproduce,grass_regrowth,run,wolves,sheep,grass,tick
161,62,62,12,25,5,5,72,4,196.0,147.0,449.0,100
162,62,62,12,25,5,5,72,4,141.0,62.0,991.0,150
163,62,62,12,25,5,5,72,5,44.0,197.0,559.0,50
164,62,62,12,25,5,5,72,5,119.0,283.0,263.0,100
165,62,62,12,25,5,5,72,5,267.0,62.0,801.0,150
166,62,62,12,25,5,5,72,6,35.0,203.0,552.0,50
167,62,62,12,25,5,5,72,6,137.0,250.0,273.0,100
168,62,62,12,25,5,5,72,6,206.0,30.0,1032.0,150
169,62,62,12,25,5,5,72,7,53.0,214.0,494.0,50
170,62,62,12,25,5,5,72,7,180.0,209.0,358.0,100
171,62,62,12,25,5,5,72,7,161.0,48.0,993.0,150
172,62,62,12,25,5,5,72,8,29.0,275.0,403.0,50
173,62,62,12,25,5,5,72,8,166.0,193.0,386.0,100
174,62,62,12,25,5,5,72,8,173.0,41.0,1133.0,150
175,62,62,12,25,5,5,72,9,63.0,205.0,555.0,50
176,62,62,12,25,5,5,72,9,213.0,127.0,396.0,100
177,62,62,12,25,5,5,72,9,128.0,55.0,1260.0,150
178,62,62,12,25,5,5,72,10,59.0,193.0,521.0,50
179,62,62,12,25,5,5,72,10,170.0,184.0,425.0,100
180,62,62,12,25,5,5,72,10,139.0,69.0,892.0,150
181,62,62,12,25,5,5,72,11,71.0,222.0,431.0,50
182,62,62,12,25,5,5,72,11,181.0,114.0,563.0,100
183,62,62,12,25,5,5,72,11,132.0,65.0,912.0,150
184,62,62,12,25,5,5,72,12,62.0,182.0,513.0,50
185,62,62,12,25,5,5,72,12,161.0,187.0,421.0,100
186,62,62,12,25,5,5,72,12,155.0,69.0,816.0,150
187,62,62,12,25,5,5,72,13,46.0,300.0,337.0,50
188,62,62,12,25,5,5,72,13,163.0,180.0,396.0,100
189,62,62,12,25,5,5,72,13,158.0,55.0,996.0,150
190,62,62,12,25,5,5,72,14,70.0,190.0,497.0,50
191,62,62,12,25,5,5,72,14,177.0,135.0,506.0,100
192,62,62,12,25,5,5,72,14,107.0,74.0,966.0,150
193,62,62,12,25,5,5,72,15,60.0,220.0,482.0,50
194,62,62,12,25,5,5,72,15,194.0,183.0,430.0,100
195,62,62,12,25,5,5,72,15,128.0,29.0,1180.0,150
196,62,62,12,25,5,5,72,16,40.0,231.0,487.0,50
197,62,62,12,25,5,5,72,16,124.0,219.0,369.0,100
198,62,62,12,25,5,5,72,16,239.0,47.0,801.0,150
199,62,62,12,25,5,5,72,17,65.0,218.0,471.0,50
200,62,62,12,25,5,5,72,17,187.0,156.0,434.0,100
201,62,62,12,25,5,5,72,17,135.0,52.0,1094.0,150
