,initial_number_sheep,initial_number_wolves,sheep_gain_from_food,wolf_gain_from_food,sheep_reproduce,wolf_reproduce,grass_regrowth,run,mean_wolves,mean_sheep,mean_grass,wolves,sheep,grass
573,62,62,38,25,5,15,72,36,411.10564134085797,411.10564134085797,540.232209117995,471.0,56.0,523.0
574,62,62,38,25,5,15,72,37,404.21374944896615,404.21374944896615,547.4754523612382,216.0,42.0,791.0
575,62,62,38,25,5,15,72,38,405.5032231331766,405.5032231331766,547.9491365717645,265.0,17.0,809.0
576,62,62,38,25,5,15,72,39,415.29809492804844,415.29809492804844,540.7440083666363,647.0,14.0,528.0
577,62,62,38,25,5,15,72,40,411.09809492804845,411.09809492804845,544.2690083666364,479.0,11.0,669.0
578,62,62,38,25,5,15,72,41,414.26882663536554,414.26882663536554,540.4153498300509,609.0,33.0,511.0
579,62,62,38,25,5,15,72,42,408.91168377822265,408.91168377822265,540.3201117348129,384.0,70.0,507.0
580,62,62,38,25,15,5,25,1,2359.0,0.0,2311.0,2359.0,0.0,2311.0
581,62,62,38,25,15,5,25,2,2331.5,2331.5,2234.0,2304.0,0.0,2157.0
582,62,62,38,25,15,5,25,3,2411.1666666666665,2411.1666666666665,2300.6666666666665,2543.0,0.0,2357.0
583,62,62,38,25,15,5,25,4,2331.6666666666665,2331.6666666666665,2296.6666666666665,2225.0,0.0,2341.0
584,62,62,38,25,15,5,25,5,2362.0666666666666,2362.0666666666666,2290.4666666666662,2377.0,0.0,2310.0
585,62,62,38,25,15,5,25,6,2387.733333333333,2387.733333333333,2320.9666666666667,2531.0,0.0,2493.0
586,62,62,38,25,15,5,25,7,2367.3047619047616,2367.3047619047616,2320.3952380952383,2388.0,0.0,2489.0
587,62,62,38,25,15,5,25,8,2376.1797619047616,2376.1797619047616,2316.395238095238,2459.0,0.0,2457.0
588,62,62,38,25,15,5,25,9,2369.0686507936502,2369.0686507936502,2308.0619047619048,2395.0,0.0,2382.0
589,62,62,38,25,15,5,25,10,2366.8686507936504,2366.8686507936504,2313.9619047619044,2373.0,0.0,2441.0
590,62,62,38,25,15,5,25,11,2359.6868326118324,2359.6868326118324,2313.41645021645,2294.0,0.0,2435.0
591,62,62,38,25,15,5,25,12,2355.1868326118324,2355.1868326118324,2282.9997835497834,2240.0,0.0,2070.0
592,62,62,38,25,15,5,25,13,2367.032986457986,2367.032986457986,2296.9228604728605,2394.0,0.0,2251.0
593,62,62,38,25,15,5,25,14,2368.175843600843,2368.175843600843,2311.8514319014316,2410.0,0.0,2460.0
594,62,62,38,25,15,5,25,15,2364.9091769341767,2364.9091769341767,2309.584765234765,2361.0,0.0,2426.0
595,62,62,38,25,15,5,25,16,2369.8466769341767,2369.8466769341767,2303.147265234765,2440.0,0.0,2323.0
596,62,62,38,25,15,5,25,17,2363.787853404765,2363.787853404765,2306.206088764177,2337.0,0.0,2375.0
597,62,62,38,25,15,5,25,18,2360.1767422936537,2360.1767422936537,2314.817199875288,2272.0,0.0,2530.0
598,62,62,38,25,15,5,25,19,2372.966215977864,2372.966215977864,2307.343515664762,2515.0,0.0,2388.0
599,62,62,38,25,15,5,25,20,2365.8162159778644,2365.8162159778644,2299.2435156647616,2372.0,0.0,2226.0
600,62,62,38,25,15,5,25,21,2363.149549311198,2363.149549311198,2311.4339918552378,2316.0,0.0,2482.0
