,initial_number_sheep,initial_number_wolves,sheep_gain_from_food,wolf_gain_from_food,sheep_reproduce,wolf_reproduce,grass_regrowth,runs,CV_sheep,CV_wolves,CV_grass
65,62,62,12,72,5,15,25,20,1.4683134820457977,0.720701838995602,8.666776319347607
66,62,62,12,72,5,15,72,3,1.4099363890705119,0.6848329953982648,5.285127160108258
67,62,62,12,72,5,15,72,5,1.5473813723357348,0.8774964387392122,5.70561411704419
68,62,62,12,72,5,15,72,7,1.696711513867738,0.9321621658019235,6.048513545233323
69,62,62,12,72,5,15,72,10,1.5992202362524932,0.8069368822061006,6.549104909903054
70,62,62,12,72,5,15,72,15,1.6327951665038822,0.8965570345572746,6.688706052797415
71,62,62,12,72,5,15,72,20,1.5639712195849615,0.8785212904651718,7.167243255675602
72,62,62,12,72,15,5,25,3,0.0,23.114947362188136,849.3040287984824
73,62,62,12,72,15,5,25,5,0.0,16.6351327159624,176.38177195920528
74,62,62,12,72,15,5,25,7,0.0,16.431194431357266,224.65925434386475
75,62,62,12,72,15,5,25,10,0.0,17.567718988652196,249.07687577580612
76,62,62,12,72,15,5,25,15,0.0,15.816138181889427,265.3624390911846
77,62,62,12,72,15,5,25,20,0.0,16.643686002899024,280.0289019633252
78,62,62,12,72,15,5,72,3,0.0,22.47930604283647,288.67513459481285
79,62,62,12,72,15,5,72,5,0.0,21.719425937590078,51.528517351365956
80,62,62,12,72,15,5,72,7,0.0,18.103557616863082,41.63329031266529
81,62,62,12,72,15,5,72,10,0.0,13.613316203869585,42.856386822608876
82,62,62,12,72,15,5,72,15,0.0,11.71498671788614,34.86331007509475
83,62,62,12,72,15,5,72,20,0.0,12.047570900189625,33.84582696104706
84,62,62,12,72,15,15,25,3,0.0,1.1547005383792512,0.0
85,62,62,12,72,15,15,25,5,0.0,0.5400617248673217,0.0
86,62,62,12,72,15,15,25,7,0.0,0.8143450710459553,0.0
87,62,62,12,72,15,15,25,10,0.0,0.43580123938246806,0.0
88,62,62,12,72,15,15,25,15,0.0,0.4765643779604378,0.0
89,62,62,12,72,15,15,25,20,0.0,0.5384803926532191,0.0
90,62,62,12,72,15,15,72,3,0.0,0.0,10.143529990520543
91,62,62,12,72,15,15,72,5,0.0,0.5040161287741853,15.599169273941444
92,62,62,12,72,15,15,72,7,0.0,0.729234492969466,19.358061751976454
93,62,62,12,72,15,15,72,10,0.0,0.6221710168382552,16.646229682827112
94,62,62,12,72,15,15,72,15,0.0,0.6065678266293777,17.159898001200876
95,62,62,12,72,15,15,72,20,0.0,0.611560300788381,18.745711435824152
96,62,62,38,25,5,5,25,3,3.9112407192063663,6.754260096789359,11.363387799352841
97,62,62,38,25,5,5,25,5,2.0819628224383715,5.311516557452566,3.2678289936998293
98,62,62,38,25,5,5,25,7,2.009018511768687,5.36222824300006,3.535943733752291
99,62,62,38,25,5,5,25,10,2.078688410049927,5.412802102029054,3.745990379286979
100,62,62,38,25,5,5,25,15,2.343093842032315,5.19663297625032,4.33523125408098
101,62,62,38,25,5,5,25,20,2.206586581825202,4.8265944197759305,3.972871441873424
102,62,62,38,25,5,5,72,3,1.9485466537607428,3.8503250622872165,2.7458771855362722
103,62,62,38,25,5,5,72,5,2.6377040631753847,4.230491647300725,3.0175941152350747
104,62,62,38,25,5,5,72,7,2.8116149940256268,4.697213167467359,3.652170435738045
105,62,62,38,25,5,5,72,10,2.498360782717771,4.687250690658625,2.907172858015217
106,62,62,38,25,5,5,72,15,2.3603357685699247,4.964711702238828,3.0422155291741504
107,62,62,38,25,5,5,72,20,2.3425764584249036,4.508277369987021,3.165907153080328
108,62,62,38,25,5,15,25,3,0.7764164424574443,1.813182525157895,2.30908372312568
109,62,62,38,25,5,15,25,5,0.747354418010312,2.3130260514077894,2.558033172292131
110,62,62,38,25,5,15,25,7,0.7466852950524733,1.7432040230495245,3.047833066665013
111,62,62,38,25,5,15,25,10,0.7058345878167754,1.8322870833044995,3.3464851248746976
112,62,62,38,25,5,15,25,15,0.7565467137648704,1.952825792378933,3.556061546412864
113,62,62,38,25,5,15,25,20,0.7778234466209191,2.224312043530376,3.867252589474726
114,62,62,38,25,5,15,72,3,1.2772288349968148,2.9989205277551143,2.1422590222892324
115,62,62,38,25,5,15,72,5,1.018174270819342,2.8836400905921225,2.3555457714936243
116,62,62,38,25,5,15,72,7,1.3303954092429937,2.6134792124148225,2.3874323412181715
117,62,62,38,25,5,15,72,10,1.419453270591934,2.9648262960495044,2.5430663443591994
118,62,62,38,25,5,15,72,15,1.440568146674746,2.7072429839941066,2.9389978556461767
119,62,62,38,25,5,15,72,20,1.4116730145091492,2.672695831249365,3.036971911727021
120,62,62,38,25,15,5,25,3,0.0,72.40837138819255,25.06883678434096
121,62,62,38,25,15,5,25,5,0.0,38.15930867413894,29.616433502538122
122,62,62,38,25,15,5,25,7,0.0,35.93358937992755,26.601304241173942
123,62,62,38,25,15,5,25,10,0.0,38.448305818147745,26.082725698933285
124,62,62,38,25,15,5,25,15,0.0,34.28135438566362,23.297352177278785
125,62,62,38,25,15,5,25,20,0.12909944487358055,25.47111075435486,17.919387939284622
126,62,62,38,25,15,5,72,3,0.0,35.72751033943454,51.77581144386277
127,62,62,38,25,15,5,72,5,0.0,10.013551351539451,26.194105464237985
