direction_true,direction_pred,density_true,density_pred,density_pred_lwr,density_pred_upr,burn_true,burn_pred,n,ticks_included
8,4,35,34.31227743074987,21.924834789972508,46.69972007152724,5.132646549366396,0.7593403521848505,99,no
4,4,49,50.2072955128513,37.886102283344655,62.52848874235795,1.6819571865443423,2.218614718614719,99,no
8,4,34,33.818721528662735,21.41048731719192,46.22695574013355,2.964732331038359,0.8146543605198718,99,no
8,4,98,82.85564392439368,70.66762560450168,95.04366224428567,100,99.87855655794588,99,no
8,4,20,14.713829459114724,2.5720692039144275,26.85558971431502,0.9343555342597027,0.41542394546229233,99,no
4,4,30,28.40146638239065,16.3766774089788,40.4262553558025,0.8423072822262502,0.8250918338513704,99,no
8,4,95,82.85564392439368,70.66762560450168,95.04366224428567,100,99.91159796290958,99,no
4,4,41,33.751821968133285,21.68035464720747,45.823289289059105,1.0068560235063664,1.1567216814783468,99,no
4,4,32,23.581256045847105,11.539533400647773,35.62297869104644,0.6940630149298448,0.5463024650233178,99,no
8,8,69,70.9433328799504,58.63117962755278,83.25548613234803,99.96767266261806,99.98202852970908,99,no
8,4,33,33.74914873437183,21.33792696884894,46.16037049989472,2.659138072486849,0.6852208194490074,99,no
4,4,84,72.5717371161495,60.4191199941383,84.72435423816071,99.9164038454231,99.04726687403476,99,no
4,4,99,99.53625955776873,87.15022469590374,111.92229441963372,100,100,99,no
4,4,15,16.177051440144613,4.001158156918516,28.35294472337071,0.4663487016428193,0.5288893324019559,99,no
8,8,66,64.26246096462229,51.309030637994844,77.21589129124975,99.94954227636416,99.932528675313,99,no
8,4,39,39.26703742607401,27.048552562912647,51.48552228923538,26.896127842655194,0.8951929365598431,99,no
4,4,20,20.875046497105618,8.799359805595529,32.95073318861571,0.6108342710175213,0.5221932114882507,99,no
8,8,55,55.77236695108559,43.57396535578208,67.9707685463891,99.39478180291316,99.67268173279444,99,no
4,4,23,19.134813811386184,7.0280713610414,31.24155626173097,0.5573138846841889,0.46272926131583375,99,no
4,4,51,50.446826488277736,38.13554127571052,62.75811170084495,2.7340823970037453,1.9348463598112968,99,no
8,4,39,37.237658713176074,24.95880483932408,49.51651258702807,17.9822055342421,0.6811755633621798,99,no
4,4,99,99.53625955776873,87.15022469590374,111.92229441963372,100,100,99,no
4,8,73,72.31970484978865,60.1738243606652,84.46558533891209,98.80936747647188,99.97792299540798,99,no
4,4,95,99.53625955776873,87.15022469590374,111.92229441963372,100,100,99,no
8,4,28,33.55549427508339,21.135883099903438,45.97510545026334,1.8085226630496216,0.8146543605198718,99,no
4,4,93,99.53625955776873,87.15022469590374,111.92229441963372,100,100,99,no
4,8,63,70.57033850250673,58.46586501853037,82.67481198648309,91.125382417638,99.97987117552334,99,no
4,4,27,26.10285010130294,14.076965443750387,38.128734758855494,0.7716139591979891,0.6094588005850805,99,no
4,4,39,35.900975235266024,23.791505414528793,48.010445056003256,1.0729526519000203,0.9183266048533784,99,no
4,4,13,16.243232261782577,4.069109743758361,28.417354779806793,0.468384074941452,0.5342203406914625,99,no
8,8,41,45.16354434484947,33.04921549928199,57.27787319041695,52.79617509895363,92.83558774452374,99,no
