density,directions,total_ticks,mean_burn,sd_burn,trend_burn,middle,end
24,8,37,1.2274152002758023,0.30940649870371545,0.02453804143310414,1.1694334861039175,1.5538981242994998
25,4,22,0.593422868613125,0.07107870598433687,0.00503945179054842,0.6024864145269374,0.6124005113386646
25,8,33,1.1926373707821163,0.23354102666827983,0.01712608932387296,1.3962069669733066,1.2801537356950228
26,4,19,0.6788122295980459,0.08530840788373881,0.00587623194434908,0.7118937316634371,0.7621353349813915
26,8,29,1.2732815488261784,0.28643815771013426,0.01965543514565488,1.2539387153889312,1.4390377872203597
27,4,23,0.7446647410269677,0.08962840262547682,0.00637146079884637,0.7698628790107269,0.8525350904568216
27,8,40,1.23935041861886,0.22826006015544512,0.00384466659292063,1.3677078347209448,1.2118604595332816
28,4,25,0.7344683539534338,0.1037616916322349,0.00870364807829877,0.7787612191736728,0.8243026182891728
28,8,42,1.728945287537668,0.4924118825068872,0.0315618318463638,1.631687084601026,2.37103716703691
29,4,21,0.6747972693473574,0.09757766932933414,0.00975876208896309,0.6656545935269211,0.7263440473683979
29,8,34,1.671401271789086,0.45356303220738375,0.03177810676779169,1.750190094447592,2.6467109483832374
30,4,26,0.8020481343677582,0.13379552504382758,0.01281088116857265,0.7538463435593836,1.0289293849262904
30,8,42,1.7822137177179027,0.4460908996493984,0.02729214016742256,1.7349213326622506,2.187501120654692
31,4,22,0.7318430473679444,0.1065181748201065,0.00590932530150233,0.8157818339925488,0.6666583159163596
31,8,38,1.9235704611281317,0.5712073066348844,0.04094493806173036,1.9952483578672409,3.133358155689076
32,4,24,0.7909486059323172,0.15151181232753097,0.01543075815486936,0.7243981351789315,1.1333972718720722
32,8,63,2.3872261640883945,0.5703056467464627,0.02150000819613251,2.7758868709897295,2.72324745536586
33,4,28,0.7314338599687983,0.10623671538980516,0.00888898283078657,0.7156353332460254,0.8630140906964611
33,8,40,2.1989602644907253,0.6120793545604463,0.04198652509259452,2.5314296795837863,2.524830401317966
34,4,23,0.892134011384562,0.14476366520142234,0.01530575184293202,0.9273961700449708,1.0545849274396653
34,8,79,3.2802566921150516,1.0786101006807287,0.0434948278622214,3.72017854777399,4.629765648960069
35,4,27,0.8884470385537535,0.13446163678826223,0.00755542020112439,1.0139499561771008,0.9813578802154
35,8,93,3.357523881654294,0.8799198061026375,0.02088116237850749,3.6588086247345015,4.403146610509906
36,4,35,0.9482412180017592,0.16567733708643068,0.01106937823766471,0.9744882534471546,1.106488044275584
36,8,156,6.637136881901861,2.921190537923123,0.06231000060974574,6.499698877427136,10.144565585685786
37,4,36,0.964705179187347,0.18199462774050856,0.01350179743872797,0.9186722961745388,1.1794409665691787
37,8,162,5.919430753733212,1.581727573947666,0.02167716816363881,6.735661294047258,7.108086614443793
38,4,34,0.8847661635042874,0.14332894023848589,0.00453129340583694,0.9324929149821723,0.90006486879237535
38,8,155,7.013674466819345,2.677098106424724,0.05607300585403222,6.662529995342012,11.99671466299877
39,4,35,0.9729240550678446,0.16155795227998626,0.00668873174234359,0.9459837853887476,1.0885537194639794
39,8,286,16.03360247839355,7.258381491052051,0.08498640060906154,16.78519624469665,28.25905929857103
40,4,30,0.8743774529529098,0.17148133614267058,0.00991134458395127,0.9052134392558614,0.9163248465893742
40,8,531,30.268337472501404,16.46302637760743,0.10542668130501666,26.428391098310147,53.34485008071493
41,4,32,1.0471766607239046,0.18821068016812992,0.0098860205664841,1.1383395442349893,1.0745945179366234
41,8,417,37.86073926689764,22.388994583952886,0.18303998076033023,43.671986043264106,72.70708533367821
42,4,36,1.1734864144005193,0.2630142153910756,0.01897423398430446,1.2010353320854672,1.464712247964706
42,8,460,44.6915042173664,23.44013992343127,0.18353125617486607,46.481748189318935,74.09061703351203
43,4,40,1.2464577362365752,0.24794084882119197,0.01238817069402259,1.2942491433565448,1.3320542810768503
43,8,474,54.41650160727921,28.89798144995813,0.21237847415783984,64.52170006476464,87.90895128931734
44,4,43,1.2943049002367413,0.30042578226697036,0.01536104822056227,1.339643536226801,1.2586022356603277
44,8,381,54.098535372033886,30.09535134537775,0.27686903863567425,55.87406602420174,90.91349290905022
45,4,39,1.4458537366081827,0.3995155069317331,0.02564295922127118,1.4738950570094966,2.0525267140639856
45,8,360,55.80998414567243,31.0507482837768,0.30431013120426553,61.60432567726501,90.13062704386584
46,4,33,1.2463672752945043,0.28134839474820933,0.02015913459412268,1.4540591276997674,1.5552042074863357
46,8,340,56.90653101644794,31.297559291010923,0.32526562792182206,55.244725127980686,95.19646122143548
47,4,50,1.7276580971103916,0.4768105986049256,0.02664411199343603,1.884606209764962,2.4731953409866954
47,8,320,56.00244518554274,31.767580238789243,0.34477920805464646,54.32982750559848,98.25859633242077
48,4,63,1.835853860865817,0.4209880830223513,0.01488447418045884,2.247239305173061,2.112399868413537
48,8,291,53.14591509857991,31.076687892066666,0.3676070403236417,56.821471754270135,97.48445422402476
49,4,62,1.8116245661401928,0.4963262755454702,0.02315990443583043,1.892849018592114,2.2353553772025982
49,8,289,53.58000789491763,31.252748926027863,0.3741562831784084,53.10658722402148,98.40899699740233
50,4,52,1.8076069819090712,0.4463599165268554,0.02000006543941887,1.8341998979754852,2.219091320942865
50,8,284,54.04266081661898,31.273614246222227,0.3809967971939586,50.59356888460969,95.94795669752632
51,4,56,1.8474890580556176,0.4260760495381544,0.01384222487441009,2.1766285404039487,2.075817924179346
51,8,282,53.73484483486885,30.84855743898585,0.3779390812370211,51.967399658548175,99.1167244695264
52,4,139,2.5920559827529392,0.5522464948594101,0.00909756731747365,2.730830448287758,3.1920178024600063
52,8,272,52.535566841317575,30.776526195529552,0.3894487686116413,59.23697107496567,97.02291373799255
53,4,104,3.891748604416497,1.6017149992834774,0.05096922323782088,3.3709226887511563,5.958074594697256
53,8,276,54.26333564738277,31.286931172933965,0.3894921018117381,50.99256402239074,100.05568883999456
54,4,95,3.504373300342926,1.139352446720522,0.03601591631758966,3.763062673568588,4.4445015788667055
