density,directions,mean_burn,sd_burn,trend_burn,end
26,4,0.767901839155512,0.10984994428496732,0,0.814152791380999
26,4,0.7239615279209678,0.07956085586981237,0.0010331432349781,0.7562608480039673
26,4,0.5936845728052313,0.04156283502551463,0,0.6094588005850805
27,4,0.6739808493467403,0.08401058602111823,9.867187654174865e-4,0.7104375111005862
27,4,0.725646598681029,0.08913364491120741,0.00438417022271583,0.7716139591979891
27,4,0.7436673611930128,0.08564314242780866,0,0.7783936784998231
27,4,0.6996154431670009,0.07264891903928908,0,0.7267528444629773
27,4,0.7748600947051226,0.09451978839305984,0.00585857402308277,0.8260589372546722
28,4,0.6609365470872226,0.08207171032176837,9.513480602013068e-4,0.6963867800673554
28,4,0.7431860504486203,0.08839555439863876,0.00297826182369943,0.7843801139890525
28,4,0.6609646315528668,0.07255804404245794,0.00393088628382746,0.6983874630933454
28,4,0.767336083533554,0.09143934754937648,8.20310897830285e-4,0.8039046798736722
28,4,0.7730997456908731,0.0989383520769234,0.00503631800275917,0.8250918338513704
29,4,0.7074495040903497,0.09572669158158097,9.170105456212664e-4,0.74828060522696
29,4,0.6143765763789889,0.07007020319985628,0.00194191614577621,0.6470007676280294
29,4,0.7052444542140646,0.09902928426087892,0.00366360755435877,0.7528713524207287
29,4,0.5959382976362223,0.08720396601496136,0.00262025425714245,0.6381089779158805
29,4,0.7603396329772665,0.10901854604589106,0.00293461673905387,0.8107367844426184
30,4,0.7095669879342846,0.09345243651301914,8.856768342367372e-4,0.7492826017642683
30,4,0.7144610379297234,0.08242918307962101,0.00264704325268675,0.7517602837630367
30,4,0.7093626924453992,0.0736068415220025,7.59232264334307e-4,0.7387329931972789
30,4,0.9140208707932052,0.15590292344560577,0.00686153423905582,0.9979720354360124
30,4,0.7193776479604379,0.07869818583480744,0.00212077832564551,0.7528763056041567
31,4,0.7257098569717466,0.10246664152184784,0.0025744001647616,0.7723200494284831
31,4,0.680129157910922,0.08647091260820294,0.0017084379751593,0.7175439495669109
31,4,0.7441896259812221,0.0957020000988192,0.00132539804696184,0.7849776820070802
31,4,0.7453458649188917,0.10652725821766386,0.0034212597078244,0.7954428820691778
31,4,0.7170537219722587,0.11207673737094974,0.00426956313829969,0.7736448406599037
32,4,0.7158209268190396,0.10085043365587688,0.00249003984063744,0.7619521912350598
32,4,0.6129160853099462,0.06888725451241684,8.305096006909762e-4,0.6428144309348216
