density,directions,combination_number,ticks,burn_percentage,time_label,burn_percentage_noise,ticks_noise,mean_burn,mean_burn_noise,sd_burn,sd_burn_noise,trend_burn,trend_burn_noise,total_ticks,sample_size,sample_method,summarise_runs,datapoints,run
54,4,107,95,4.489940409463685,end,4.4445015788667055,87,3.535771179290271,3.504373300342926,1.0928849776273255,1.139352446720522,0.03460378816007557,0.03601591631758966,95,198,full,summarised,endpoints,NA
54,8,108,281,99.3633952254642,end,98.62448338558457,276,54.87027183548406,55.09450714506711,31.218803306969996,31.15419911780682,0.3956538598830744,0.3837690598661533,281,198,full,summarised,endpoints,NA
55,4,109,176,11.70889737359713,end,11.597780829938525,175,6.744260154245451,6.752631915219996,2.87134700778726,2.883790370110557,0.0533462098603841,0.05485573194207191,176,198,full,summarised,endpoints,NA
55,8,110,282,99.23706196333256,end,98.32912372015835,281,55.21460919996555,55.056641466696156,31.327006655989138,31.53409160738943,0.3967683811696813,0.38755976370505346,282,198,full,summarised,endpoints,NA
56,4,111,258,12.106606180890276,end,12.137161829313476,254,8.322111326974746,8.327892109751534,2.999963652116927,3.05819763707678,0.03658960723516547,0.038099762606407475,258,198,full,summarised,endpoints,NA
56,8,112,273,99.53702388729512,end,102.41396045955473,283,53.930787922211145,53.756251878996544,30.848120726836676,30.766643300915778,0.39792059500765387,0.38764008082245477,273,198,full,summarised,endpoints,NA
57,4,113,232,13.233280232525644,end,13.573871644963358,232,10.219257200021461,10.223287242376822,4.308633390387184,4.346843274203226,0.06301029636737099,0.06415125557612109,232,198,full,summarised,endpoints,NA
57,8,114,271,99.54318821202752,end,97.35817764966382,276,53.66736615416462,53.75127443509116,30.705436565563872,30.864584556832728,0.39807063021203976,0.39287856254374665,271,198,full,summarised,endpoints,NA
58,4,115,706,32.27722772277228,end,31.46206703105674,698,18.397258190210255,18.358160580278135,7.921470618711721,7.994291037037596,0.03986243239670665,0.03832475910905334,706,198,full,summarised,endpoints,NA
58,8,116,270,99.629273650968,end,98.64612782213524,265,53.55102588063909,53.71705228783556,30.677795713585237,30.873271464018703,0.3987681908924468,0.3940609962430817,270,198,full,summarised,endpoints,NA
59,4,117,841,68.61471861471861,end,67.45000645450335,840,39.57644030530151,39.48085026678256,20.941491203741375,21.047749830072632,0.08542246253016125,0.08586921286058125,841,198,full,summarised,endpoints,NA
59,8,118,273,99.76776214522968,end,96.89000760626801,273,54.14004370369417,54.234257316744696,30.905483838571723,30.934087090359547,0.3989306832500189,0.39048959065280653,273,198,full,summarised,endpoints,NA
60,4,119,775,71.68850657877107,end,73.54778366190666,775,44.914371015636966,44.99196820529581,21.278990873318843,21.402728968055794,0.09782705841385368,0.09437781288005877,775,198,full,summarised,endpoints,NA
