density,directions,total_ticks,mean_burn,trend_burn,sd_burn,middle,end
7,4,13,0.16167344267923314,1.669705474503282e-4,0.01107818766734298,0.1411380692870357,0.181412795442449
7,4,13,0.31606870372897733,7.896277449613064e-4,0.02065633131145556,0.3334247981465492,0.32602477056154455
7,4,14,0.4162217548809592,-3.5988604739778385e-4,0.02236416562754693,0.4351979994485312,0.38949945361739474
7,4,13,0.22674916671366951,1.2225312469811382e-4,0.01208818296584192,0.2467483622493044,0.2277920316720681
7,4,14,0.3778307582765328,0.00299872250381313,0.03100002289835687,0.3805165841000387,0.40098334575371614
8,4,13,0.19785522895120272,-6.153476997848642e-4,0.0094939432964998,0.1828846640309177,0.201396010493265
8,4,15,0.4017639096130337,9.544086136565738e-4,0.02980103586095813,0.3794989926596681,0.4589781210963357
8,4,14,0.5876014382662734,-3.00429595262978e-4,0.02579058835490392,0.6520056014737053,0.6077153897805778
8,4,14,0.6993248289446209,9.631378156571556e-5,0.04285983968211521,0.7122708882951977,0.6927755795050057
8,4,13,0.3557705420996911,-0.00379314181025875,0.03192853168826375,0.3405871406610241,0.3244103878643228
9,4,15,0.2591193754793782,0.00338776804186357,0.01911763409895058,0.24146658138883337,0.2794687442152931
9,4,14,0.4605092673751894,-3.4493242107179744e-4,0.03189075616292702,0.4797792754555274,0.5001500912817672
9,4,17,0.3952406300439203,0.00384834838906415,0.03864017837573903,0.3703644540195861,0.41731421937248425
9,4,14,0.4774314094166073,0.00186464978459737,0.03532836531591991,0.47400332301279013,0.46693963182616066
9,4,13,0.35602874736974394,-0.00134287078338261,0.0158914536078263,0.3881903260939177,0.33049518327941946
10,4,15,0.26471341710131346,0.00259896757105582,0.0206848575163752,0.28197442828587255,0.2403606936725323
10,4,14,0.5321821716670093,5.932942652044915e-4,0.03113945370479761,0.5142208598216818,0.5731072000256082
10,4,16,0.551828491002368,0.00169896206180899,0.03805427397089735,0.567273383867914,0.6231597559311897
10,4,14,0.423530902977395,2.9744428575178005e-4,0.03039170259978337,0.44074320818304025,0.44033750346116535
