mean_wolves,mean_sheep,mean_grass,min_wolves,min_sheep,min_grass,max_wolves,max_sheep,max_grass,sd_wolves,sd_sheep,sd_grass,trend_wolves,trend_sheep,trend_grass,initial_number_sheep,initial_number_wolves,sheep_gain_from_food,wolves_gain_from_food,sheep_reproduce,wolves_reproduce,grass_regrowth,wolves_50,wolves_100,wolves_150,wolves_200,wolves_250,wolves_300,wolves_350,wolves_400,wolves_450,wolves_500,sheep_50,sheep_100,sheep_150,sheep_200,sheep_250,sheep_300,sheep_350,sheep_400,sheep_450,sheep_500,grass_50,grass_100,grass_150,grass_200,grass_250,grass_300,grass_350,grass_400,grass_450,grass_500
129.398,18.584,2270.688,0,0,465,680,205,2601,203.6922400419481,49.49454883852826,662.1924314642815,-0.4660053704770897,0,0,46,189,9,52,16,3,53,419,548,140,14,5,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,483,2067,2601,2601,2601,2601,2601,2601,2601,2601
378.14,83.456,1334.006,96,1,82,666,575,2361,149.04222075349745,103.65833379101102,649.3386877638308,0.23164460065551143,0.02597402597402597,-0.42199183327146417,46,189,9,52,16,3,53,438,569,160,178,431,377,579,314,340,576,99,6,14,429,21,97,13,69,170,15,479,2091,2335,85,2144,1111,1348,1845,609,1714
128.32,17.376,2264.892,0,0,485,670,207,2601,208.21984681873732,46.16840550998777,645.321628604442,-0.41156191369606,0,0.3177156576916481,46,189,9,52,16,3,53,441,604,123,8,0,0,0,0,0,0,108,10,0,0,0,0,0,0,0,0,500,2062,2530,2601,2601,2601,2601,2601,2601,2601
129.336,19.99,2246.122,0,0,431,649,250,2601,204.96385893845255,53.13432424361536,672.4208762267656,-0.43370957514267594,0,0.4632127390833634,46,189,9,52,16,3,53,373,620,158,20,1,0,0,0,0,0,198,7,0,0,0,0,0,0,0,0,448,1955,2512,2601,2601,2601,2601,2601,2601,2601
123.076,17.57,2288.736,0,0,490,685,240,2601,206.2082294472836,49.57511961629483,644.0106067661111,-0.3,0,0,46,189,9,52,16,3,53,446,601,73,9,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,501,2224,2601,2601,2601,2601,2601,2601,2601,2601
116.49,17.866,2288.004,0,0,484,605,233,2601,183.19955801287355,51.53017331159528,642.4185857075782,-0.4895833333333333,0,0.2795953727768435,46,189,9,52,16,3,53,431,433,105,23,1,0,0,0,0,0,93,6,0,0,0,0,0,0,0,0,531,2294,2537,2601,2601,2601,2601,2601,2601,2601
126.646,17.516,2269.324,0,0,531,646,206,2601,201.7435838664083,46.70409284610027,647.8324295197601,-0.48218253968253966,0,0,46,189,9,52,16,3,53,431,593,139,14,1,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,543,2020,2600,2601,2601,2601,2601,2601,2601,2601
357.682,83.926,1380.128,61,1,49,677,770,2499,150.41029016252028,126.37379949339496,664.7944606913718,0.3067907334211682,-0.05594405594405594,0.5027027027027027,46,189,9,52,16,3,53,440,555,145,105,345,452,418,310,514,304,132,2,15,648,63,43,28,141,31,9,494,2160,2452,57,1847,1163,1671,1139,1065,2326
125.906,17.934,2281.662,0,0,493,678,224,2601,204.05639217229324,48.69250007060894,645.2776287710467,-0.372944056700752,0,0.05028286084510604,46,189,9,52,16,3,53,433,562,120,17,1,3,0,0,0,0,142,3,0,0,0,0,0,0,0,0,503,2164,2585,2601,2601,2601,2601,2601,2601,2601
123.36,18.352,2290.484,0,0,439,684,266,2601,201.48697327817897,53.84744367545001,653.0300408192757,-0.4620667662248771,0,0,46,189,9,52,16,3,53,435,566,124,13,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,452,2320,2601,2601,2601,2601,2601,2601,2601,2601
318.042,112.87,1427.382,109,1,62,685,626,2498,158.0576878908546,156.5447591688923,872.3591192518617,-0.3641461422467957,-0.00976404226582982,0.6919264424391578,46,189,9,52,16,3,53,439,610,198,223,431,156,419,383,115,280,118,6,33,110,1,141,11,4,68,41,447,1965,2253,89,2403,1711,558,2498,2024,267
51.952,1.984,2461.448,0,0,1090,1060,137,2601,187.13557958414157,13.7828763093455,373.9303559731898,0,0,0,137,196,2,75,17,16,63,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1834,2601,2601,2601,2601,2601,2601,2601,2601,2601
52.804,1.986,2437.146,0,0,1148,1022,126,2575,187.5249978900609,12.951187997287436,368.0269070225507,0,0,0,137,196,2,75,17,16,63,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1816,2575,2575,2575,2575,2575,2575,2575,2575,2575
49.54,1.386,2268.508,0,0,1148,949,124,2363,175.46816964086173,10.26175478280615,278.41689220974985,0,0,0,137,196,2,75,17,16,63,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1976,2363,2363,2363,2363,2363,2363,2363,2363,2363
49.77,1.65,2280.268,0,0,1121,1009,123,2384,182.50653240017868,10.953330584886206,296.8756144193621,0,0,0,137,196,2,75,17,16,63,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1891,2384,2384,2384,2384,2384,2384,2384,2384,2384
50.968,1.728,2376.322,0,0,1117,1020,126,2496,183.06855318795925,12.134764976796385,331.694233360922,0,0,0,137,196,2,75,17,16,63,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1878,2496,2496,2496,2496,2496,2496,2496,2496,2496
48.04,1.712,2089.316,0,0,1097,908,120,2165,171.3239100777491,11.291237313959895,234.49480115246703,0,0,0,137,196,2,75,17,16,63,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1919,2165,2165,2165,2165,2165,2165,2165,2165,2165
50.856,1.536,2440.428,0,0,1096,1117,134,2566,191.02349388080216,11.523988398867576,350.18130548248695,0,0,0,137,196,2,75,17,16,63,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1961,2566,2566,2566,2566,2566,2566,2566,2566,2566
50.954,1.644,2434.76,0,0,1120,1017,130,2561,183.35241503781836,11.458965038759786,347.3464228618886,0,0,0,137,196,2,75,17,16,63,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1929,2561,2561,2561,2561,2561,2561,2561,2561,2561
47.318,1.438,2082.438,0,0,1118,1066,126,2151,180.16220946535617,10.820365827145888,220.65482378257005,0,0,0,137,196,2,75,17,16,63,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1987,2151,2151,2151,2151,2151,2151,2151,2151,2151
