density,directions,total_ticks,mean_burn,sd_burn,trend_burn,middle,end
15,8,20,0.7065879915069281,0.104737301569973,0.01089805818088794,0.6992425462132231,0.9051724137931036
16,4,18,0.5313208272467975,0.03714956882088955,0.00196367206676484,0.536272892428697,0.5596465390279823
16,8,21,0.679125833194397,0.08257009860610219,0.00398125034568966,0.7033953287085936,0.6152014288549316
17,4,17,0.5466436705894784,0.04006182497915125,0.00132812564931048,0.5496897182247327,0.6185567010309279
17,8,22,0.6824282870773554,0.07661548279824698,0.00377710133428203,0.7033664111561514,0.7449145258332538
18,4,18,0.4629347841784992,0.02765365429247284,2.2520493649220985e-4,0.4756335590545257,0.42338528060535086
18,8,23,0.7472968218808296,0.1074601249917003,0.00621127927234891,0.7838783057989713,0.8012820512820512
19,4,17,0.5002948898956867,0.03193262191139604,0,0.5131139115460921,0.5039241744351728
19,8,21,0.8947037716166462,0.136804779916137,0.00675777452606447,0.953736107880583,0.9837456447334754
20,4,16,0.4928816344903989,0.03780429752291774,0,0.4962172435513714,0.5912584653964468
20,8,21,0.8471373324417595,0.1258780600851655,0.00365599210007375,0.900381697847492,0.882679916197989
21,4,19,0.4939310121471387,0.02806393997809556,0.00224927527131516,0.4986174073534737,0.5219364599092284
21,8,23,0.9441777806571866,0.15686931916212968,0.01081254118344447,0.9910582674938386,1.1602335633578524
22,4,18,0.5305734624171202,0.04440011288701108,0.00217380366425712,0.5343429945753587,0.6147074686176425
22,8,28,0.85325106504251,0.12793375969732915,0.00799333730960381,0.8900436575536994,0.9232121922626024
23,4,19,0.6394255791042442,0.06866543093933572,0.00231990786312852,0.6519947180882817,0.8050643363379894
23,8,23,0.9870817916979492,0.1797042703896393,0.00969827933005182,1.0673407189575863,1.1282698653332608
24,4,20,0.6267017222085851,0.07139836500262063,0.0050664648718191,0.6364262679872627,0.790722192936215
24,8,37,1.2475296927810713,0.3058027159554916,0.02372788309988681,1.1624147915247844,1.6110853278525492
25,4,22,0.5890177500846058,0.05993219116628376,0.00269491144025961,0.6093731019211281,0.6339546088500064
25,8,33,1.1666224988890526,0.21718960242721855,0.01256713047134493,1.2125692577330651,1.2975560594608213
26,4,19,0.6762539285562065,0.07273301383779902,0.001636830253183,0.704279228052718,0.7021175856322144
26,8,29,1.293710142751536,0.27411191128882195,0.01708072823898445,1.402074432734301,1.4655593551538837
27,4,23,0.735680330608927,0.08432303808762044,0.00516929458901728,0.7626513861032096,0.8260589372546722
27,8,40,1.221832355634657,0.2196231279340424,0.00419392874189714,1.3948640115635698,1.1481160501705332
28,4,25,0.7350378349190013,0.08589805618776308,0.00481447664855161,0.7616301741749592,0.8250918338513704
28,8,42,1.7557855513808458,0.4655632945399531,0.03019263934333717,1.7428319562999477,2.4613460663938156
29,4,21,0.679889801298536,0.09106405693671626,0.00341568298672427,0.7193996975268434,0.7528713524207287
29,8,34,1.6619393227119033,0.4358614944742704,0.02709246325402755,1.8228550539232915,2.6917161063502526
30,4,26,0.7941648267231037,0.12645370455237498,0.01064555125153009,0.7970574941824309,0.9979720354360124
30,8,42,1.790565151765984,0.4310097784892324,0.02174731095947579,1.9009420189665112,2.1527667038749803
31,4,22,0.7265311026572863,0.097637433189514,0.00269199316074926,0.7687858807463112,0.7736448406599037
31,8,38,1.910477322823069,0.545193205873922,0.03715487589407319,2.057210014865141,2.9591889249137973
32,4,24,0.7952985118124819,0.12960130443329407,0.01205823565529283,0.8178931087740039,1.037924151696607
32,8,63,2.3953760929147165,0.5714944554511817,0.02235083695980617,2.5985144288554,2.784557907845579
33,4,28,0.7391535903192008,0.10139559930498962,0.00717024487081012,0.7530153256897174,0.8459418958766375
33,8,40,2.211853177822077,0.6095577491054924,0.03570628214057485,2.428162825562874,2.4914461953640785
34,4,23,0.8914564027452546,0.14341973001855474,0.00936466967061466,0.942537186864168,1.006866278717958
34,8,79,3.29185699025755,1.0538907518597118,0.04078831357868953,3.603495912568355,4.908119257453591
35,4,27,0.8893784129473284,0.1403286520686289,0.00670976593789189,0.9423078072768364,1.0037895079248624
35,8,93,3.3342888915415574,0.8292179877129005,0.01821598274362363,3.6933605223774895,4.075519651447763
36,4,35,0.9338738841854496,0.1584276662736165,0.01060878259313706,0.9444385616496715,1.1187948729242831
36,8,156,6.635457831079912,2.9150804860284016,0.06194779737377376,6.4952997068934115,10.295878986825178
37,4,36,0.951183925297012,0.17171551330670434,0.01082675550061549,0.964280972173162,1.1151295961422545
37,8,162,5.941500321333392,1.591514416961625,0.02152893677283043,6.897018261621057,6.826703443520235
