wolves,sheep,grass,initial_number_sheep,initial_number_wolves,sheep_gain_from_food,wolves_gain_from_food,sheep_reproduce,wolves_reproduce,grass_regrowth
0.00105932275395349,794.0680394455593,50.99808624334712,181,116,21,1,3,16,70
0.00670833175285563,835.6452129444417,63.33138105592347,181,116,21,1,3,16,70
0.0012853039506302,879.1944456747111,66.08384976767059,181,116,21,1,3,16,70
0,932.5368612227855,75.96177727991557,181,116,21,1,3,16,70
0,912.5434376345972,34.655736584509285,181,116,21,1,3,16,70
0,823.7356292228769,62.33295225030244,181,116,21,1,3,16,70
0.0115160681106257,794.9896369431737,65.87164977290206,181,116,21,1,3,16,70
0,758.3152629235628,73.17319332815241,181,116,21,1,3,16,70
0,814.2646854906255,90.71970145746762,181,116,21,1,3,16,70
0,883.6033537415965,73.96457091304895,181,116,21,1,3,16,70
0,0,2638.8550963734647,67,166,47,85,12,13,8
2.5805190253914487,0,2218.2394680717207,67,166,47,85,12,13,8
0,0,2606.4234742022886,67,166,47,85,12,13,8
0,15080.021729345284,327.2096157140301,67,166,47,85,12,13,8
0,0,2539.415210274152,67,166,47,85,12,13,8
0,0.11762409545179386,2487.3959684570423,67,166,47,85,12,13,8
0,14795.070234408142,296.2811706886687,67,166,47,85,12,13,8
1.5472162502305231,0,2546.3521729730105,67,166,47,85,12,13,8
0,0,2773.4438790530826,67,166,47,85,12,13,8
0,0.17052570375421994,2482.235704588079,67,166,47,85,12,13,8
0,0.07016150047636269,2489.0763925895685,67,166,47,85,12,13,8
0,31.387022777009232,2573.408910740776,67,166,47,85,12,13,8
0.8735650555868069,0.10793630368262186,2716.3675116093877,67,166,47,85,12,13,8
0.4051740783175501,0.1886763557396931,2589.72973043562,67,166,47,85,12,13,8
0,0,2320.008280462892,67,166,47,85,12,13,8
0.4835795973963402,111.15945088508444,840.3484653235375,90,67,3,14,15,12,30
0.654028154453386,100.98931198715223,973.849573165742,90,67,3,14,15,12,30
0,135.208308322575,717.116783913552,90,67,3,14,15,12,30
0.12720104375208907,128.0836789970506,410.31069714057,90,67,3,14,15,12,30
0,221.4874849143846,548.6216861889142,90,67,3,14,15,12,30
0,154.88002183803766,690.8916705416648,90,67,3,14,15,12,30
0,158.23936378904634,559.8595540316289,90,67,3,14,15,12,30
0,237.9919927289177,655.7305741182444,90,67,3,14,15,12,30
0.26123978144022986,132.1705159424564,482.7427155040925,90,67,3,14,15,12,30
0,216.2228026921345,631.7928900832931,90,67,3,14,15,12,30
0.05732665045644843,224.83346428984083,703.3111879118266,90,67,3,14,15,12,30
0.35985209211733077,209.01555348180625,923.32147217532,90,67,3,14,15,12,30
0,284.4174539925642,774.4551011405676,90,67,3,14,15,12,30
0,152.58996467898345,1229.951776468142,90,67,3,14,15,12,30
0.4511331177562702,213.89258165224496,772.1198063996285,90,67,3,14,15,12,30
53.5452205180532,404.2692016927218,557.1645038792506,113,74,29,4,12,7,56
19.461805344782103,438.73717249598695,586.3733260543919,113,74,29,4,12,7,56
0.03991532185459844,1890.2753138250016,123.46149997267769,113,74,29,4,12,7,56
42.489605097874694,480.8939430307943,573.2188593901927,113,74,29,4,12,7,56
43.716763309452794,324.7698717135461,712.2969472793781,113,74,29,4,12,7,56
38.419946589389944,556.6377066409203,546.7281923811036,113,74,29,4,12,7,56
32.588011454286814,406.7672676393373,636.1326426772705,113,74,29,4,12,7,56
0.0084018524105801,1706.7457940686895,126.12808691788388,113,74,29,4,12,7,56
50.25216273290478,494.94350184461257,700.7676666820254,113,74,29,4,12,7,56
0,1643.8780020538125,122.88508010757738,113,74,29,4,12,7,56
22.76844627425189,495.8409000246339,803.4476979076519,113,74,29,4,12,7,56
23.84854155272311,677.1224042991767,595.1091794138608,113,74,29,4,12,7,56
0.03637387403751485,1568.4572598339448,150.12202940278374,113,74,29,4,12,7,56
53.74485848344299,389.4010149075292,472.7441734806991,113,74,29,4,12,7,56
0,1865.2153135924991,93.09872131508368,113,74,29,4,12,7,56
0,0,1564.4272793174523,161,232,42,55,4,16,91
0,0.1908312035932067,1753.5883644140636,161,232,42,55,4,16,91
2.3032946309440643,0.03355998655552941,1467.9583124610162,161,232,42,55,4,16,91
0,0.04591309012231944,1738.4127964685265,161,232,42,55,4,16,91
1.1557951881372066,0,1691.0303201467336,161,232,42,55,4,16,91
4.519873953493622,0,1821.5099988899915,161,232,42,55,4,16,91
0,0,1529.8579835124358,161,232,42,55,4,16,91
0,0,1401.2369704167986,161,232,42,55,4,16,91
1.4122594997208688,0.11259898429277104,1567.4861763024476,161,232,42,55,4,16,91
0,1360.5182581023691,128.80256675909362,161,232,42,55,4,16,91
1.7985887086182402,0.20200987282046085,1586.716730332237,161,232,42,55,4,16,91
0,0,1667.9611973895812,161,232,42,55,4,16,91
0,0,1818.7414573177848,161,232,42,55,4,16,91
2.583496440431212,0,1596.022999633242,161,232,42,55,4,16,91
0,0,1840.8165141241136,161,232,42,55,4,16,91
0,2154.590907925103,154.5695834782689,35,1,22,6,7,10,26
0,2038.4789881871857,155.36286724220113,35,1,22,6,7,10,26
0,2019.114139432674,172.90890718285152,35,1,22,6,7,10,26
3.830279253126376e-4,1971.2265940595084,174.39577874960057,35,1,22,6,7,10,26
0,2128.701483403826,132.90938025000312,35,1,22,6,7,10,26
0.00181629933832806,2246.6001656891813,179.44723388638766,35,1,22,6,7,10,26
6.347604605656452e-4,1936.508762168369,151.61537850435224,35,1,22,6,7,10,26
0,2259.4627579631747,165.67782166847442,35,1,22,6,7,10,26
6.619500429997964e-4,2082.971058685673,153.60918323847716,35,1,22,6,7,10,26
5.860040102128239e-4,1953.7648352877752,169.97913738726646,35,1,22,6,7,10,26
0,2118.8331163753896,166.52842104561827,35,1,22,6,7,10,26
4.702965407153584e-4,2060.8672062674873,212.49099823897944,35,1,22,6,7,10,26
0.00119490832994632,2038.7240528388445,165.7573455899084,35,1,22,6,7,10,26
0.00111730220815998,2220.3699415552137,199.5744846104705,35,1,22,6,7,10,26
0,1989.0658249302537,138.90205420492,35,1,22,6,7,10,26
2.343395857267791,0,942.4002823715184,119,75,36,39,7,20,88
